QTD,Bubblesort,Heapsort,Insertionsort,MegeSort,QuickSort,RadixSort
545,193674,13984,74289,10347,7694,4114
546,192580,13914,74395,10373,7729,4110
547,195721,13992,72856,10390,8911,5763
548,196240,14081,75676,10411,8045,5772
549,195606,14072,73939,10421,8901,5795
550,196044,14137,75210,10462,7734,5803
551,197711,14155,74146,10459,8157,5826
552,199424,14172,75487,10505,8323,4144
553,199013,14253,77327,10512,8080,4161
554,198658,14255,75451,10549,7748,5851
555,200573,14219,77237,10531,8460,5850
556,202411,14284,81463,10591,9332,5857
557,204116,14377,79575,10613,8422,5884
558,206099,14283,81117,10635,7939,4204
559,203221,14472,75339,10617,8685,5896
560,204306,14378,78596,10664,8918,2521
561,203596,14483,76414,10698,8081,5913
562,205671,14455,79057,10723,8258,5920
563,205109,14440,78606,10719,9169,4251
564,207936,14466,81775,10782,9175,5943
565,208468,14619,79998,10769,8112,5948
566,209474,14540,79001,10809,8758,2555
567,209570,14651,80175,10845,8125,5979
568,210442,14659,80547,10863,9434,4288
569,211356,14635,80608,10847,8725,5994
570,211615,14706,83778,10871,8358,6014
571,212012,14757,81595,10918,8116,4295
572,211687,14771,78149,10933,9083,6028
573,211297,14855,78910,10949,9046,4307
574,211993,14905,78695,10984,8327,4317
575,215205,14824,80960,11008,8407,6061
576,213780,14952,80849,11012,7668,4347
577,216923,14931,84256,11033,9038,6078
578,218256,14942,82339,11065,9767,4359
579,215923,15044,80570,11087,9140,6102
580,218960,14998,85356,11120,8936,6104
581,218250,15058,84536,11147,8793,6127
582,219516,15045,84066,11164,8832,4381
583,220143,15186,85953,11211,9799,6149
584,221971,15122,84478,11212,8621,6160
585,219009,15245,83340,11209,8033,6169
586,221773,15214,87301,11258,7987,6179
587,227481,15148,90876,11291,9034,6192
588,224528,15252,86953,11296,8991,6193
589,228717,15264,90397,11307,8200,6205
590,226051,15272,90587,11345,9088,4423
591,225234,15365,84855,11345,8558,4448
592,227396,15433,86831,11395,8796,6236
